crop_file,true_label,pred_label,logits,softmax,goodness
00066717.npy,1,1,"[-0.770612359046936, -0.24472196400165558]","[0.37147587537765503, 0.6285240650177002]",0.6285240650177002
00062156.npy,1,1,"[-2.6395702362060547, 1.2742642164230347]","[0.019573049619793892, 0.9804270267486572]",0.9804270267486572
00040478.npy,0,0,"[0.20833256840705872, -0.2200789600610733]","[0.6054943203926086, 0.39450570940971375]",0.39450570940971375
00041307.npy,1,0,"[-0.08930322527885437, -0.1898929625749588]","[0.5251262187957764, 0.47487372159957886]",0.47487372159957886
00002060.npy,1,0,"[-0.15525570511817932, -0.21982848644256592]","[0.5161375999450684, 0.48386242985725403]",0.48386242985725403
00057299.npy,0,0,"[-0.06266945600509644, -0.2007385492324829]","[0.5344625115394592, 0.4655374586582184]",0.4655374586582184
00005386.npy,1,1,"[-1.9148808717727661, 0.13262687623500824]","[0.11430445313453674, 0.8856955766677856]",0.8856955766677856
00036403.npy,1,1,"[-0.2474844753742218, -0.16186992824077606]","[0.47860944271087646, 0.5213905572891235]",0.5213905572891235
00062446.npy,1,0,"[0.012189358472824097, -0.06055533140897751]","[0.5181781649589539, 0.48182186484336853]",0.48182186484336853
00033081.npy,1,1,"[-0.5121356248855591, -0.22489947080612183]","[0.4286806583404541, 0.5713193416595459]",0.5713193416595459
00058598.npy,0,1,"[-0.5007494688034058, 0.3006281852722168]","[0.3097308874130249, 0.6902690529823303]",0.6902690529823303
00064572.npy,0,1,"[-0.1755041778087616, 0.15432532131671906]","[0.4182821214199066, 0.5817179083824158]",0.5817179083824158
00061553.npy,1,0,"[-0.008194297552108765, -0.08229056000709534]","[0.5185155868530273, 0.48148441314697266]",0.48148441314697266
00039153.npy,0,1,"[-0.34768781065940857, -0.00802353024482727]","[0.41589102149009705, 0.5841089487075806]",0.5841089487075806
00065033.npy,0,0,"[-0.17721271514892578, -0.2972069978713989]","[0.5299626588821411, 0.47003740072250366]",0.47003740072250366
00033547.npy,1,1,"[-0.6186349391937256, -0.5025656819343567]","[0.47101524472236633, 0.528984785079956]",0.528984785079956
00056289.npy,0,1,"[-0.6773945093154907, -0.49594175815582275]","[0.454760879278183, 0.5452390909194946]",0.5452390909194946
00066042.npy,0,1,"[-0.9273848533630371, -0.42770764231681824]","[0.3776165544986725, 0.6223834753036499]",0.6223834753036499
00022212.npy,0,0,"[0.05122026801109314, -0.1492692232131958]","[0.5499551892280579, 0.4500448405742645]",0.4500448405742645
