crop_file,true_label,pred_label,logits,softmax,goodness
00043938.npy,1,1,"[-1.4535307884216309, 0.367947518825531]","[0.1392565667629242, 0.8607434034347534]",0.8607434034347534
00019540.npy,0,0,"[-0.07381387054920197, -0.1304617077112198]","[0.5141581892967224, 0.4858418405056]",0.4858418405056
00023041.npy,1,1,"[-0.9106799960136414, -0.5105324983596802]","[0.40127691626548767, 0.5987231135368347]",0.5987231135368347
00017675.npy,0,1,"[-0.25566112995147705, -0.23597946763038635]","[0.49507972598075867, 0.504920244216919]",0.504920244216919
00059929.npy,1,1,"[-0.4497353434562683, -0.22375771403312683]","[0.44374480843544006, 0.5562552213668823]",0.5562552213668823
00034245.npy,0,0,"[-0.04709622263908386, -0.24880266189575195]","[0.5502563714981079, 0.4497436583042145]",0.4497436583042145
00032023.npy,0,0,"[-0.15505258738994598, -0.23106104135513306]","[0.5189929604530334, 0.48100703954696655]",0.48100703954696655
00011308.npy,1,0,"[-0.13964085280895233, -0.21239648759365082]","[0.5181809067726135, 0.48181912302970886]",0.48181912302970886
00009890.npy,1,1,"[-1.0005550384521484, 0.452009916305542]","[0.18960712850093842, 0.8103928565979004]",0.8103928565979004
00033415.npy,1,1,"[-0.3204968571662903, -0.016749173402786255]","[0.42464160919189453, 0.5753583908081055]",0.5753583908081055
00012974.npy,1,1,"[-0.9451112151145935, 0.8653987050056458]","[0.14057651162147522, 0.8594234585762024]",0.8594234585762024
00060438.npy,1,1,"[-0.6324180960655212, -0.13492056727409363]","[0.37812894582748413, 0.6218710541725159]",0.6218710541725159
00005902.npy,1,1,"[-1.9232561588287354, 1.2618229389190674]","[0.03973110020160675, 0.9602689743041992]",0.9602689743041992
00012413.npy,0,1,"[-1.4269824028015137, -0.2700875401496887]","[0.23923194408416748, 0.7607680559158325]",0.7607680559158325
00006947.npy,1,1,"[-0.7898128032684326, 0.21987032890319824]","[0.2670418620109558, 0.7329580783843994]",0.7329580783843994
00042860.npy,1,0,"[-0.35984426736831665, -0.3810497522354126]","[0.5053011775016785, 0.4946988523006439]",0.4946988523006439
00068387.npy,1,1,"[-0.4395115375518799, -0.30189913511276245]","[0.46565112471580505, 0.5343489050865173]",0.5343489050865173
00032974.npy,1,0,"[0.14374001324176788, -0.032423317432403564]","[0.5439273118972778, 0.45607271790504456]",0.45607271790504456
00009292.npy,1,0,"[-0.22024284303188324, -0.24243134260177612]","[0.5055469274520874, 0.494453102350235]",0.494453102350235
00002128.npy,1,1,"[-0.07252505421638489, -0.06218083202838898]","[0.4974139928817749, 0.5025860071182251]",0.5025860071182251
00040383.npy,1,1,"[-0.7267962694168091, 0.18429264426231384]","[0.2867770493030548, 0.7132229208946228]",0.7132229208946228
00067616.npy,1,0,"[-0.22587232291698456, -0.22729814052581787]","[0.5003564357757568, 0.4996435344219208]",0.4996435344219208
00063888.npy,1,1,"[-0.7107914090156555, 0.18833211064338684]","[0.2892306447029114, 0.7107693552970886]",0.7107693552970886
00063997.npy,1,1,"[-0.7718676924705505, 0.12697315216064453]","[0.2892887592315674, 0.7107112407684326]",0.7107112407684326
00034518.npy,1,1,"[-0.6406294703483582, 0.13741320371627808]","[0.3147418797016144, 0.685258150100708]",0.685258150100708
00032994.npy,1,1,"[-0.8307168483734131, 0.4756079912185669]","[0.21310250461101532, 0.7868975400924683]",0.7868975400924683
00069085.npy,1,1,"[-0.48660415410995483, -0.1473103016614914]","[0.4159810543060303, 0.5840190052986145]",0.5840190052986145
00012896.npy,1,1,"[-1.7848478555679321, 0.8220083117485046]","[0.0686984732747078, 0.9313015341758728]",0.9313015341758728
00032534.npy,0,0,"[-0.08666683733463287, -0.3223533630371094]","[0.5586503744125366, 0.4413496255874634]",0.4413496255874634
