crop_file,logits,dataset,softmax_values,pred_label,true_label,original_rec,crop_start_sample,crop_end_sample
00000848.npy,"[1.4992166757583618, -3.4248135089874268, -1.835194706916809]",train,"[0.9588598012924194, 0.006970692425966263, 0.034169502556324005]",0,0,sub-037,0,499.0
00000849.npy,"[0.698266863822937, -1.8956722021102905, -1.22964608669281]",train,"[0.8195534944534302, 0.06124122813344002, 0.11920523643493652]",0,0,sub-037,500,999.0
00000850.npy,"[1.6848191022872925, -2.820354461669922, -1.8502229452133179]",train,"[0.9613451361656189, 0.010624469257891178, 0.028030449524521828]",0,0,sub-037,1000,1499.0
00000851.npy,"[2.5224497318267822, -3.756392478942871, -2.1419992446899414]",train,"[0.9888262748718262, 0.001854614238254726, 0.00931913685053587]",0,0,sub-037,1500,1999.0
00000852.npy,"[1.1233360767364502, -1.8951573371887207, -1.2540358304977417]",train,"[0.8759106993675232, 0.042809952050447464, 0.08127937465906143]",0,0,sub-037,2000,2499.0
00000853.npy,"[0.5184844136238098, -0.6625010371208191, -0.5743533968925476]",train,"[0.6089244484901428, 0.1869252622127533, 0.20415028929710388]",0,0,sub-037,2500,2999.0
00000854.npy,"[0.9774835705757141, -1.8968968391418457, -1.249150276184082]",train,"[0.8588541746139526, 0.048483267426490784, 0.09266263991594315]",0,0,sub-037,3000,3499.0
00000855.npy,"[0.5302871465682983, -1.1432713270187378, -1.0443506240844727]",train,"[0.7170201539993286, 0.1344974786043167, 0.14848236739635468]",0,0,sub-037,3500,3999.0
00000856.npy,"[2.003584146499634, -2.8224573135375977, -2.146564483642578]",train,"[0.9767720103263855, 0.007831954397261143, 0.015395956113934517]",0,0,sub-037,4000,4499.0
00000857.npy,"[1.1439114809036255, -1.7918308973312378, -1.2814292907714844]",train,"[0.8760101795196533, 0.046508509665727615, 0.07748132944107056]",0,0,sub-037,4500,4999.0
00000858.npy,"[1.9964851140975952, -3.6411237716674805, -2.076939344406128]",train,"[0.9798346161842346, 0.003489556722342968, 0.016675814986228943]",0,0,sub-037,5000,5499.0
00000859.npy,"[2.6524124145507812, -4.539560317993164, -2.4951579570770264]",train,"[0.9934768080711365, 0.0007476935279555619, 0.005775587633252144]",0,0,sub-037,5500,5999.0
00000860.npy,"[1.3651257753372192, -3.4381043910980225, -1.4730409383773804]",train,"[0.9374390840530396, 0.007690005470067263, 0.054871004074811935]",0,0,sub-037,6000,6499.0
00000861.npy,"[1.932535171508789, -2.9646482467651367, -1.8616605997085571]",train,"[0.9709033370018005, 0.00725030479952693, 0.021846294403076172]",0,0,sub-037,6500,6999.0
00000862.npy,"[2.665764570236206, -4.59625768661499, -2.638772487640381]",train,"[0.9943612813949585, 0.000697731098625809, 0.004940980114042759]",0,0,sub-037,7000,7499.0
00000863.npy,"[0.8785136938095093, -2.0623340606689453, -1.1239815950393677]",train,"[0.8418791890144348, 0.04446883872151375, 0.11365201324224472]",0,0,sub-037,7500,7999.0
00000864.npy,"[1.557682991027832, -1.7673996686935425, -1.5992791652679443]",train,"[0.9271928071975708, 0.03335069864988327, 0.03945652395486832]",0,0,sub-037,8000,8499.0
00000865.npy,"[0.22119641304016113, -0.7469163537025452, -0.3762223720550537]",train,"[0.518126904964447, 0.1967841386795044, 0.28508898615837097]",0,0,sub-037,8500,8999.0
00000866.npy,"[0.8174886107444763, -2.331657648086548, -1.0578206777572632]",train,"[0.835983157157898, 0.03585425019264221, 0.12816253304481506]",0,0,sub-037,9000,9499.0
00000867.npy,"[-1.3800668716430664, -0.8821476101875305, 0.6385879516601562]",train,"[0.09829472005367279, 0.16172374784946442, 0.7399815320968628]",2,0,sub-037,9500,9999.0
00000868.npy,"[0.08915913105010986, -0.6839748620986938, -0.4587036967277527]",train,"[0.49025654792785645, 0.22628489136695862, 0.2834585905075073]",0,0,sub-037,10000,10499.0
