crop_file,logits,dataset,softmax_values,pred_label,true_label,original_rec,crop_start_sample,crop_end_sample
00000848.npy,"[1.6270416975021362, -2.3269362449645996, -1.203940749168396]",train,"[0.9275291562080383, 0.017788393422961235, 0.05468238890171051]",0,0,sub-037,0,499.0
00000849.npy,"[0.7542633414268494, -1.4750832319259644, -0.6586117744445801]",train,"[0.7401699423789978, 0.07964134216308594, 0.18018870055675507]",0,0,sub-037,500,999.0
00000850.npy,"[1.2616899013519287, -1.858241081237793, -0.7776972055435181]",train,"[0.8515938520431519, 0.03760656714439392, 0.11079952120780945]",0,0,sub-037,1000,1499.0
00000851.npy,"[2.285952091217041, -2.781081438064575, -1.5936275720596313]",train,"[0.973747193813324, 0.0061356620863080025, 0.02011713944375515]",0,0,sub-037,1500,1999.0
00000852.npy,"[1.3293185234069824, -0.9815564155578613, -1.1188461780548096]",train,"[0.8434358239173889, 0.08364728093147278, 0.07291681319475174]",0,0,sub-037,2000,2499.0
00000853.npy,"[0.8243586421012878, -0.621483564376831, -0.8777284026145935]",train,"[0.7052931785583496, 0.16613009572029114, 0.12857680022716522]",0,0,sub-037,2500,2999.0
00000854.npy,"[1.1067644357681274, -1.0037869215011597, -1.1349259614944458]",train,"[0.814697265625, 0.09871779382228851, 0.08658497035503387]",0,0,sub-037,3000,3499.0
00000855.npy,"[0.5778021812438965, -0.7883799076080322, -0.6251028180122375]",train,"[0.6429216265678406, 0.16399578750133514, 0.19308257102966309]",0,0,sub-037,3500,3999.0
00000856.npy,"[2.2652196884155273, -2.4070613384246826, -1.7298833131790161]",train,"[0.9729931354522705, 0.009098374284803867, 0.017908476293087006]",0,0,sub-037,4000,4499.0
00000857.npy,"[1.0907467603683472, -1.1590478420257568, -0.8361461758613586]",train,"[0.7993472814559937, 0.08426789939403534, 0.11638487875461578]",0,0,sub-037,4500,4999.0
00000858.npy,"[2.060178279876709, -2.7243103981018066, -1.6596392393112183]",train,"[0.9684323072433472, 0.008094540797173977, 0.023473236709833145]",0,0,sub-037,5000,5499.0
00000859.npy,"[2.1855709552764893, -2.748018741607666, -1.9584656953811646]",train,"[0.977460503578186, 0.007038308773189783, 0.01550125703215599]",0,0,sub-037,5500,5999.0
00000860.npy,"[1.3161436319351196, -2.0934250354766846, -1.1697319746017456]",train,"[0.895810067653656, 0.029611404985189438, 0.07457853853702545]",0,0,sub-037,6000,6499.0
00000861.npy,"[1.5898486375808716, -2.1187357902526855, -1.2740724086761475]",train,"[0.9245931506156921, 0.022663813084363937, 0.052743081003427505]",0,0,sub-037,6500,6999.0
00000862.npy,"[2.34969162940979, -3.171013593673706, -1.6398979425430298]",train,"[0.977985143661499, 0.003914898261427879, 0.018099870532751083]",0,0,sub-037,7000,7499.0
00000863.npy,"[1.0187240839004517, -1.097797155380249, -1.0904536247253418]",train,"[0.8052906394004822, 0.09699717909097672, 0.09771212935447693]",0,0,sub-037,7500,7999.0
00000864.npy,"[1.1293399333953857, -1.4726709127426147, -1.0198384523391724]",train,"[0.8398391008377075, 0.062252555042505264, 0.09790834784507751]",0,0,sub-037,8000,8499.0
00000865.npy,"[0.3054775595664978, -1.0100271701812744, -0.17959028482437134]",train,"[0.5307871699333191, 0.14243081212043762, 0.3267820179462433]",0,0,sub-037,8500,8999.0
00000866.npy,"[1.118064284324646, -1.3246830701828003, -0.8444952368736267]",train,"[0.8147169947624207, 0.07081660628318787, 0.11446639895439148]",0,0,sub-037,9000,9499.0
00000867.npy,"[-1.4394947290420532, -1.0932804346084595, 0.6209948062896729]",train,"[0.09743247181177139, 0.1377408355474472, 0.7648266553878784]",2,0,sub-037,9500,9999.0
00000868.npy,"[-0.3472949266433716, -0.5267834663391113, 0.03367115557193756]",train,"[0.3030858039855957, 0.2532880902290344, 0.4436260759830475]",2,0,sub-037,10000,10499.0
00000869.npy,"[-0.8440694808959961, -0.5023216605186462, 0.05972983315587044]",train,"[0.20507052540779114, 0.2886173725128174, 0.5063121318817139]",2,0,sub-037,10500,10999.0
00000870.npy,"[-0.9502721428871155, -0.31021061539649963, 0.4502708315849304]",train,"[0.14380213618278503, 0.27273476123809814, 0.5834631323814392]",2,0,sub-037,11000,11499.0
00000871.npy,"[2.64990496635437, -2.6208884716033936, -2.093043804168701]",train,"[0.9863367676734924, 0.005069308448582888, 0.008593871258199215]",0,0,sub-037,11500,11999.0
00000872.npy,"[2.545992612838745, -3.041539430618286, -1.5881905555725098]",train,"[0.9806228876113892, 0.003671704325824976, 0.015705406665802002]",0,0,sub-037,12000,12499.0
00000873.npy,"[1.3627327680587769, -2.191711902618408, -0.6799290776252747]",train,"[0.8633489012718201, 0.02468940243124962, 0.1119617149233818]",0,0,sub-037,12500,12999.0
00000874.npy,"[0.21745418012142181, -0.8877657651901245, -0.1853044182062149]",train,"[0.5000971555709839, 0.1656011939048767, 0.3343016803264618]",0,0,sub-037,13000,13499.0
00000875.npy,"[1.8089897632598877, -1.6858566999435425, -1.2357840538024902]",train,"[0.9276778101921082, 0.02815818600356579, 0.044164031744003296]",0,0,sub-037,13500,13999.0
00000876.npy,"[0.9777981638908386, -0.6411458253860474, -0.7480230331420898]",train,"[0.7266730666160583, 0.14395959675312042, 0.12936726212501526]",0,0,sub-037,14000,14499.0
00000877.npy,"[1.7273426055908203, -2.589733123779297, -1.2681828737258911]",train,"[0.940424919128418, 0.012544170022010803, 0.0470309741795063]",0,0,sub-037,14500,14999.0
00000878.npy,"[1.26677668094635, -2.027095079421997, -1.0087679624557495]",train,"[0.8773077726364136, 0.032556790858507156, 0.09013542532920837]",0,0,sub-037,15000,15499.0
00000879.npy,"[1.6703009605407715, -2.3277199268341064, -1.1136685609817505]",train,"[0.9258019328117371, 0.01699024625122547, 0.05720783770084381]",0,0,sub-037,15500,15999.0
00000880.npy,"[0.9672644734382629, -1.5117815732955933, -0.6610682606697083]",train,"[0.7812013626098633, 0.06548275053501129, 0.15331584215164185]",0,0,sub-037,16000,16499.0
00000881.npy,"[1.9550639390945435, -2.370323419570923, -1.5894863605499268]",train,"[0.9595916271209717, 0.01269388385117054, 0.027714546769857407]",0,0,sub-037,16500,16999.0
00000882.npy,"[1.0844777822494507, -0.8633243441581726, -0.8434211015701294]",train,"[0.776373028755188, 0.11070079356431961, 0.1129261702299118]",0,0,sub-037,17000,17499.0
00000883.npy,"[0.9399522542953491, -1.4943952560424805, -0.8068082928657532]",train,"[0.7923976182937622, 0.06945754587650299, 0.1381448358297348]",0,0,sub-037,17500,17999.0
00000884.npy,"[0.9075631499290466, -1.934867262840271, -0.2586684823036194]",train,"[0.730021595954895, 0.04254846274852753, 0.22743000090122223]",0,0,sub-037,18000,18499.0
00000885.npy,"[-0.008707384578883648, -0.3365856409072876, 0.11743241548538208]",train,"[0.35027599334716797, 0.252356618642807, 0.39736735820770264]",2,0,sub-037,18500,18999.0
00000886.npy,"[0.5047353506088257, -1.9519860744476318, -0.4194851219654083]",train,"[0.674510657787323, 0.0578160397708416, 0.2676732838153839]",0,0,sub-037,19000,19499.0
00000887.npy,"[0.385286420583725, -0.923293948173523, -1.043190836906433]",train,"[0.6623055934906006, 0.17895719408988953, 0.1587371677160263]",0,0,sub-037,19500,19999.0
00000888.npy,"[0.7931745648384094, -0.641374409198761, -0.48304232954978943]",train,"[0.6590594053268433, 0.15700295567512512, 0.18393763899803162]",0,0,sub-037,20000,20499.0
00000889.npy,"[2.4074952602386475, -3.448993444442749, -1.3605258464813232]",train,"[0.9746978282928467, 0.0027888761833310127, 0.02251330204308033]",0,0,sub-037,20500,20999.0
00000890.npy,"[-0.022869952023029327, -1.4235572814941406, -0.2361735701560974]",train,"[0.4867747128009796, 0.1199546754360199, 0.3932705521583557]",0,0,sub-037,21000,21499.0
00000891.npy,"[0.08053159713745117, -0.40555086731910706, -0.44280990958213806]",train,"[0.4529871344566345, 0.27860116958618164, 0.2684117555618286]",0,0,sub-037,21500,21999.0
00000892.npy,"[1.8563941717147827, -2.1577036380767822, -1.4156773090362549]",train,"[0.9469813704490662, 0.017101766541600227, 0.03591690585017204]",0,0,sub-037,22000,22499.0
00000893.npy,"[1.5901986360549927, -2.718158721923828, -1.123800277709961]",train,"[0.9261600971221924, 0.012462073005735874, 0.061377812176942825]",0,0,sub-037,22500,22999.0
00000894.npy,"[1.0832818746566772, -1.99733304977417, -0.6457253098487854]",train,"[0.817399799823761, 0.03754398599267006, 0.14505617320537567]",0,0,sub-037,23000,23499.0
00000895.npy,"[1.4756150245666504, -1.8166311979293823, -1.4743114709854126]",train,"[0.9178405404090881, 0.03411637246608734, 0.048043038696050644]",0,0,sub-037,23500,23999.0
00000896.npy,"[0.20524369180202484, -1.2666441202163696, -0.14394426345825195]",train,"[0.5168620347976685, 0.11861561238765717, 0.36452236771583557]",0,0,sub-037,24000,24499.0
00000897.npy,"[0.8111177086830139, -1.5237776041030884, -0.4878477156162262]",train,"[0.7301217913627625, 0.0706908330321312, 0.19918736815452576]",0,0,sub-037,24500,24999.0
00000898.npy,"[0.2287188470363617, -0.5835440158843994, -0.3688313364982605]",train,"[0.5015019178390503, 0.22259289026260376, 0.27590519189834595]",0,0,sub-037,25000,25499.0
00000899.npy,"[1.0204757452011108, -1.025498390197754, -0.651335597038269]",train,"[0.7592088580131531, 0.09813094139099121, 0.14266018569469452]",0,0,sub-037,25500,25999.0
00000900.npy,"[-0.027631685137748718, -0.28329771757125854, -0.06035084277391434]",train,"[0.3646692633628845, 0.28240007162094116, 0.3529306650161743]",0,0,sub-037,26000,26499.0
00000901.npy,"[-1.909372329711914, 0.7607548236846924, -0.7354177832603455]",train,"[0.05354303866624832, 0.7732581496238708, 0.1731988489627838]",1,0,sub-037,26500,26999.0
00000902.npy,"[-0.32656171917915344, -0.8702553510665894, -0.2566674053668976]",train,"[0.3769325613975525, 0.21884694695472717, 0.4042205214500427]",2,0,sub-037,27000,27499.0
00000903.npy,"[-1.639962077140808, -0.488006055355072, 0.628482460975647]",train,"[0.07231319695711136, 0.22882622480392456, 0.6988605856895447]",2,0,sub-037,27500,27999.0
00000904.npy,"[0.3197565972805023, -0.6393767595291138, -0.36622023582458496]",train,"[0.5299914479255676, 0.2031058818101883, 0.2669026553630829]",0,0,sub-037,28000,28499.0
00000905.npy,"[0.3943606913089752, -0.830775260925293, -0.3546898365020752]",train,"[0.5660805702209473, 0.16626791656017303, 0.2676515579223633]",0,0,sub-037,28500,28999.0
00000906.npy,"[0.7995458245277405, -1.13096022605896, -0.852724015712738]",train,"[0.7481170296669006, 0.10853290557861328, 0.14335006475448608]",0,0,sub-037,29000,29499.0
00000907.npy,"[0.8984913229942322, -0.548291802406311, -1.3281645774841309]",train,"[0.7444826364517212, 0.17519621551036835, 0.08032119274139404]",0,0,sub-037,29500,29999.0
00000908.npy,"[1.058877944946289, -1.066636323928833, -0.6643984317779541]",train,"[0.7705039381980896, 0.09197625517845154, 0.13751986622810364]",0,0,sub-037,30000,30499.0
00000909.npy,"[0.7527334094047546, -1.1090962886810303, -0.5674707293510437]",train,"[0.7030031085014343, 0.10923828184604645, 0.18775862455368042]",0,0,sub-037,30500,30999.0
00000910.npy,"[0.5050077438354492, -0.8433942198753357, -0.31201618909835815]",train,"[0.587751567363739, 0.15261253714561462, 0.25963589549064636]",0,0,sub-037,31000,31499.0
00000911.npy,"[0.8034148812294006, -2.0851807594299316, -0.48860034346580505]",train,"[0.7516700625419617, 0.04183368757367134, 0.2064962536096573]",0,0,sub-037,31500,31999.0
00000912.npy,"[-0.929096519947052, -0.44260337948799133, 0.19783708453178406]",train,"[0.17504611611366272, 0.28473034501075745, 0.5402235388755798]",2,0,sub-037,32000,32499.0
00000913.npy,"[0.2728889286518097, -0.8036094307899475, -0.45207908749580383]",train,"[0.5479071736335754, 0.18671949207782745, 0.2653733789920807]",0,0,sub-037,32500,32999.0
00000914.npy,"[-0.5157662630081177, -0.1230866014957428, 0.1498376578092575]",train,"[0.22590653598308563, 0.33455491065979004, 0.43953850865364075]",2,0,sub-037,33000,33499.0
00000915.npy,"[0.10220787674188614, -0.39871758222579956, -0.18871334195137024]",train,"[0.4248911142349243, 0.2574710547924042, 0.31763777136802673]",0,0,sub-037,33500,33999.0
00000916.npy,"[1.811612606048584, -3.045541763305664, -1.2147842645645142]",train,"[0.9467342495918274, 0.0073585594072937965, 0.04590718448162079]",0,0,sub-037,34000,34499.0
00000917.npy,"[2.3773629665374756, -2.5902698040008545, -1.523706078529358]",train,"[0.9735393524169922, 0.006775448098778725, 0.01968524046242237]",0,0,sub-037,34500,34999.0
00000918.npy,"[0.8060455918312073, -1.2948694229125977, -0.8923941850662231]",train,"[0.7660996317863464, 0.09372802823781967, 0.14017228782176971]",0,0,sub-037,35000,35499.0
00000919.npy,"[0.6451185941696167, -0.933659553527832, -0.8116760849952698]",train,"[0.6948262453079224, 0.1432918757200241, 0.16188189387321472]",0,0,sub-037,35500,35999.0
00000920.npy,"[2.158720016479492, -2.430377721786499, -1.366921305656433]",train,"[0.9619131684303284, 0.009774981997907162, 0.028311915695667267]",0,0,sub-037,36000,36499.0
00000921.npy,"[-0.542218029499054, -0.08269286155700684, -0.1122131273150444]",train,"[0.24268385767936707, 0.38424670696258545, 0.3730694353580475]",1,0,sub-037,36500,36999.0
00000922.npy,"[2.317608118057251, -2.8052291870117188, -1.5036545991897583]",train,"[0.9728958606719971, 0.005797576624900103, 0.021306544542312622]",0,0,sub-037,37000,37499.0
00000923.npy,"[2.3292934894561768, -2.9532124996185303, -1.8551156520843506]",train,"[0.9800934195518494, 0.004978565964847803, 0.014928002841770649]",0,0,sub-037,37500,37999.0
00000924.npy,"[1.387428879737854, -1.3196594715118408, -0.8187944889068604]",train,"[0.8497284054756165, 0.05670306459069252, 0.09356845170259476]",0,0,sub-037,38000,38499.0
00000925.npy,"[-0.3308353126049042, -0.6288399696350098, -0.11645500361919403]",train,"[0.3354138433933258, 0.24897697567939758, 0.415609210729599]",2,0,sub-037,38500,38999.0
00000926.npy,"[-0.33461159467697144, -1.0049370527267456, 0.3802157938480377]",train,"[0.28126418590545654, 0.1438784897327423, 0.5748572945594788]",2,0,sub-037,39000,39499.0
00000927.npy,"[1.3586567640304565, -0.7562808394432068, -0.9241854548454285]",train,"[0.8179057836532593, 0.09867282211780548, 0.08342140913009644]",0,0,sub-037,39500,39999.0
00000928.npy,"[-0.7980493307113647, 0.07395623624324799, -0.04761866480112076]",train,"[0.1815008670091629, 0.43409615755081177, 0.38440290093421936]",1,0,sub-037,40000,40499.0
00000929.npy,"[-0.6781120896339417, -0.6011542081832886, -0.058208104223012924]",train,"[0.25388792157173157, 0.27419808506965637, 0.47191402316093445]",2,0,sub-037,40500,40999.0
00000930.npy,"[-0.4038788378238678, -0.6975781321525574, 0.27610620856285095]",train,"[0.2688642740249634, 0.2004384696483612, 0.530697226524353]",2,0,sub-037,41000,41499.0
00000931.npy,"[0.49404534697532654, -1.2480931282043457, -0.26877838373184204]",train,"[0.6092014312744141, 0.10669886320829391, 0.2840996980667114]",0,0,sub-037,41500,41999.0
00000932.npy,"[0.5751986503601074, -1.9527384042739868, -0.2030535489320755]",train,"[0.6497593522071838, 0.0518660843372345, 0.29837462306022644]",0,0,sub-037,42000,42499.0
00000933.npy,"[0.10738036781549454, -0.708987295627594, -0.25308287143707275]",train,"[0.4674234688282013, 0.20661722123622894, 0.3259592652320862]",0,0,sub-037,42500,42999.0
00000934.npy,"[-0.5130872130393982, -1.0185987949371338, -0.45464298129081726]",train,"[0.3754623532295227, 0.2264777272939682, 0.3980598747730255]",2,0,sub-037,43000,43499.0
00000935.npy,"[0.8050721883773804, -1.4721307754516602, -0.5202322006225586]",train,"[0.7308377623558044, 0.07496253401041031, 0.19419972598552704]",0,0,sub-037,43500,43999.0
00000936.npy,"[-0.4967173635959625, -0.35584530234336853, 0.18766671419143677]",train,"[0.2419065237045288, 0.2785015404224396, 0.47959190607070923]",2,0,sub-037,44000,44499.0
00000937.npy,"[1.076866626739502, -2.139291763305664, -0.42372649908065796]",train,"[0.7916988134384155, 0.03175412490963936, 0.1765471249818802]",0,0,sub-037,44500,44999.0
00000938.npy,"[1.9702874422073364, -2.6572000980377197, -1.2075213193893433]",train,"[0.9510619640350342, 0.0093007180839777, 0.03963729366660118]",0,0,sub-037,45000,45499.0
00000939.npy,"[0.7904776930809021, -1.2849173545837402, -0.6997261047363281]",train,"[0.7402836084365845, 0.09291063994169235, 0.1668056845664978]",0,0,sub-037,45500,45999.0
00000940.npy,"[0.724908173084259, -1.6603062152862549, -0.4172568619251251]",train,"[0.7086185216903687, 0.0652419701218605, 0.22613954544067383]",0,0,sub-037,46000,46499.0
00000941.npy,"[0.7043569684028625, -1.244664192199707, -0.6409504413604736]",train,"[0.7128228545188904, 0.10151553899049759, 0.18566159904003143]",0,0,sub-037,46500,46999.0
00000942.npy,"[1.156609296798706, -1.3997513055801392, -0.7755994200706482]",train,"[0.8180530667304993, 0.06346994638442993, 0.11847695708274841]",0,0,sub-037,47000,47499.0
00000943.npy,"[1.6169730424880981, -2.880678176879883, -0.9363811016082764]",train,"[0.918311357498169, 0.010225508362054825, 0.07146317511796951]",0,0,sub-037,47500,47999.0
00000944.npy,"[0.01841362938284874, -0.3780094087123871, -0.5763181447982788]",train,"[0.44955283403396606, 0.3024241328239441, 0.24802303314208984]",0,0,sub-037,48000,48499.0
00000945.npy,"[1.3259069919586182, -1.7432156801223755, -0.6391203999519348]",train,"[0.8427339792251587, 0.0391550175845623, 0.11811091005802155]",0,0,sub-037,48500,48999.0
00000946.npy,"[1.6447595357894897, -1.7400528192520142, -1.0845626592636108]",train,"[0.9097959399223328, 0.030827529728412628, 0.05937647819519043]",0,0,sub-037,49000,49499.0
00000947.npy,"[-1.5848016738891602, 0.6139428019523621, -0.4020256996154785]",train,"[0.07531759887933731, 0.6788893938064575, 0.24579298496246338]",1,0,sub-037,49500,49999.0
00000948.npy,"[1.8775629997253418, -2.1523778438568115, -1.4214588403701782]",train,"[0.9481416940689087, 0.016853585839271545, 0.03500469774007797]",0,0,sub-037,50000,50499.0
00000949.npy,"[0.08623075485229492, -0.49115219712257385, -0.70744389295578]",train,"[0.4966363310813904, 0.2787945568561554, 0.22456908226013184]",0,0,sub-037,50500,50999.0
