crop_file,true_label,pred_label,logits,softmax,goodness
00042802.npy,1,0,"[-0.21203643083572388, -0.2445947825908661]","[0.50813889503479, 0.49186113476753235]",0.49186113476753235
00021085.npy,1,1,"[-0.4043616056442261, 0.051851220428943634]","[0.38788464665412903, 0.6121153831481934]",0.6121153831481934
00011703.npy,1,1,"[-0.576479971408844, -0.3994195759296417]","[0.45585018396377563, 0.5441498160362244]",0.5441498160362244
00061430.npy,0,1,"[-0.39913210272789, 0.5822235941886902]","[0.27262288331985474, 0.72737717628479]",0.72737717628479
00057846.npy,1,1,"[-1.2871042490005493, -0.42520949244499207]","[0.29694363474845886, 0.7030563354492188]",0.7030563354492188
00036890.npy,1,1,"[-0.33319398760795593, -0.3312465250492096]","[0.4995131194591522, 0.5004868507385254]",0.5004868507385254
00005309.npy,1,1,"[-0.3645929992198944, -0.2536504864692688]","[0.47229278087615967, 0.5277072191238403]",0.5277072191238403
00010261.npy,1,1,"[-0.8901687860488892, 0.47096237540245056]","[0.204056516289711, 0.7959434986114502]",0.7959434986114502
00061014.npy,0,1,"[-0.07713329046964645, -0.027249976992607117]","[0.48753175139427185, 0.5124682188034058]",0.5124682188034058
00067491.npy,1,1,"[-0.8466160297393799, 0.13495036959648132]","[0.2725811004638672, 0.7274188995361328]",0.7274188995361328
00022478.npy,0,1,"[-0.28955644369125366, -0.27208858728408813]","[0.4956331253051758, 0.5043668746948242]",0.5043668746948242
00040880.npy,1,1,"[-0.06846421211957932, 0.08886606246232986]","[0.4607483744621277, 0.5392516255378723]",0.5392516255378723
00011103.npy,0,0,"[-0.025976501405239105, -0.053783565759658813]","[0.5069513320922852, 0.49304869771003723]",0.49304869771003723
00038543.npy,1,1,"[-0.2648584246635437, 0.9164463877677917]","[0.23481766879558563, 0.7651823163032532]",0.7651823163032532
00011060.npy,1,1,"[-0.9318808317184448, -0.32930946350097656]","[0.3537556231021881, 0.6462444067001343]",0.6462444067001343
00033637.npy,1,1,"[-0.2765035033226013, 0.0818006619811058]","[0.4113701581954956, 0.5886299014091492]",0.5886299014091492
00033675.npy,1,1,"[-0.37596505880355835, -0.1986129730939865]","[0.4557778537273407, 0.5442221760749817]",0.5442221760749817
00064499.npy,1,1,"[-0.44816309213638306, 0.3865118622779846]","[0.30265748500823975, 0.6973425149917603]",0.6973425149917603
00052365.npy,1,1,"[-0.5999445915222168, -0.2863937318325043]","[0.4222482740879059, 0.5777517557144165]",0.5777517557144165
00008517.npy,1,1,"[-0.30076396465301514, 0.00455232709646225]","[0.42425841093063354, 0.5757415890693665]",0.5757415890693665
00006230.npy,0,1,"[-0.3744058609008789, 0.3334452211856842]","[0.33007386326789856, 0.669926106929779]",0.669926106929779
00005929.npy,1,1,"[-0.3289479911327362, -0.03244524449110031]","[0.4264126420021057, 0.5735873579978943]",0.5735873579978943
00014261.npy,1,1,"[-0.26296159625053406, 0.10288288444280624]","[0.4095454812049866, 0.5904544591903687]",0.5904544591903687
00034362.npy,0,1,"[-0.5495222210884094, -0.09740155935287476]","[0.3888567090034485, 0.6111432909965515]",0.6111432909965515
00062062.npy,1,1,"[-0.6711231470108032, -0.20497074723243713]","[0.3855273425579071, 0.6144726276397705]",0.6144726276397705
00064555.npy,0,1,"[-0.5499787330627441, -0.09958379715681076]","[0.38926687836647034, 0.6107330918312073]",0.6107330918312073
00035198.npy,0,1,"[-0.4575614333152771, 0.4016735851764679]","[0.2974991798400879, 0.7025007605552673]",0.7025007605552673
00064148.npy,1,1,"[-0.4492953419685364, -0.15984699130058289]","[0.4281389117240906, 0.5718610286712646]",0.5718610286712646
00002358.npy,1,1,"[0.1865735501050949, 0.3681755065917969]","[0.45472386479377747, 0.5452761054039001]",0.5452761054039001
00034589.npy,0,1,"[-0.38152092695236206, -0.07584702223539352]","[0.4241710305213928, 0.5758289098739624]",0.5758289098739624
00038241.npy,1,1,"[-0.668868899345398, 0.30239337682724]","[0.27462899684906006, 0.7253710031509399]",0.7253710031509399
00061973.npy,1,1,"[-0.12383793294429779, -0.06104187294840813]","[0.48430612683296204, 0.5156938433647156]",0.5156938433647156
00044265.npy,1,1,"[-0.4904786944389343, 0.11897819489240646]","[0.352183073759079, 0.6478168964385986]",0.6478168964385986
00063437.npy,1,1,"[-0.49393486976623535, 0.03733106702566147]","[0.37022164463996887, 0.6297783255577087]",0.6297783255577087
00033335.npy,1,1,"[-0.5949229598045349, -0.24433419108390808]","[0.41323965787887573, 0.5867603421211243]",0.5867603421211243
00009681.npy,1,1,"[-0.5741360783576965, -0.2484816312789917]","[0.41929832100868225, 0.5807016491889954]",0.5807016491889954
00032409.npy,1,1,"[-0.5044914484024048, 0.1889951229095459]","[0.33325791358947754, 0.6667420864105225]",0.6667420864105225
00023351.npy,0,1,"[-0.29142144322395325, 0.07777846604585648]","[0.40873435139656067, 0.5912656784057617]",0.5912656784057617
00042952.npy,1,0,"[-0.6342806816101074, -0.6601539850234985]","[0.5064679384231567, 0.4935320317745209]",0.4935320317745209
00059289.npy,1,1,"[-0.6998393535614014, 0.46112683415412903]","[0.23849178850650787, 0.7615082263946533]",0.7615082263946533
00037465.npy,1,1,"[-0.8640772104263306, -0.2336338758468628]","[0.3474099934101105, 0.6525899767875671]",0.6525899767875671
00039289.npy,1,1,"[-0.22098232805728912, 0.16475871205329895]","[0.404742956161499, 0.595257043838501]",0.595257043838501
00008592.npy,1,1,"[-0.3830324113368988, 0.18994027376174927]","[0.3605511784553528, 0.6394488215446472]",0.6394488215446472
00027117.npy,1,1,"[-1.4892135858535767, -0.4592522382736206]","[0.2630915939807892, 0.7369084358215332]",0.7369084358215332
00027185.npy,1,1,"[-0.43137526512145996, -0.29594045877456665]","[0.46619299054145813, 0.5338070392608643]",0.5338070392608643
00032881.npy,1,1,"[-0.5160565972328186, 0.22293606400489807]","[0.3232244551181793, 0.6767755746841431]",0.6767755746841431
00032230.npy,0,1,"[-0.6007186770439148, 0.34511110186576843]","[0.2797242999076843, 0.7202757596969604]",0.7202757596969604
00019609.npy,0,1,"[-0.2646569013595581, -0.09731879085302353]","[0.4582628309726715, 0.5417371392250061]",0.5417371392250061
00058946.npy,1,0,"[-0.05242837220430374, -0.18027573823928833]","[0.5319183468818665, 0.46808159351348877]",0.46808159351348877
00051303.npy,1,0,"[-0.3341822922229767, -0.3789420425891876]","[0.5111880898475647, 0.4888119399547577]",0.4888119399547577
00069048.npy,1,0,"[-0.14777086675167084, -0.24559569358825684]","[0.5244367718696594, 0.47556328773498535]",0.47556328773498535
00005935.npy,1,1,"[-0.28745323419570923, 0.05486135929822922]","[0.41524738073349, 0.5847526788711548]",0.5847526788711548
00051678.npy,1,1,"[-0.8958016037940979, -0.13019636273384094]","[0.3174305558204651, 0.6825694441795349]",0.6825694441795349
00004640.npy,1,1,"[-0.34002113342285156, -0.17877426743507385]","[0.4597754180431366, 0.5402246117591858]",0.5402246117591858
00037792.npy,1,1,"[-0.0030439794063568115, 0.029902510344982147]","[0.4917641282081604, 0.5082358717918396]",0.5082358717918396
00036623.npy,1,1,"[-0.3735489547252655, -0.03203989565372467]","[0.41544297337532043, 0.584557056427002]",0.584557056427002
00065120.npy,0,1,"[-0.2741684913635254, -0.01902373880147934]","[0.4365576207637787, 0.5634424090385437]",0.5634424090385437
00034966.npy,0,1,"[-0.6562161445617676, -0.09725189954042435]","[0.3637871742248535, 0.6362128853797913]",0.6362128853797913
00009761.npy,1,1,"[-0.3355516195297241, -0.24343544244766235]","[0.47698724269866943, 0.5230127573013306]",0.5230127573013306
00006574.npy,1,1,"[-0.39264243841171265, -0.20167504251003265]","[0.4524027407169342, 0.5475972890853882]",0.5475972890853882
00037704.npy,1,1,"[-0.14556051790714264, -0.0022002384066581726]","[0.46422117948532104, 0.535778820514679]",0.535778820514679
00027100.npy,1,0,"[-0.2013462483882904, -0.24708855152130127]","[0.5114335417747498, 0.48856639862060547]",0.48856639862060547
00004433.npy,1,1,"[-0.39531010389328003, -0.0619436576962471]","[0.41742172837257385, 0.5825782418251038]",0.5825782418251038
