crop_file,logits,dataset,softmax_values,pred_label,true_label,original_rec,crop_start_sample,crop_end_sample
00000848.npy,"[0.7459330558776855, -1.64278244972229, -0.8613541126251221]",train,"[0.7738871574401855, 0.07100217789411545, 0.1551106870174408]",0,0,sub-037,0,499.0
00000849.npy,"[0.2068449854850769, -1.0287257432937622, -0.5263712406158447]",train,"[0.5646430253982544, 0.16412414610385895, 0.27123281359672546]",0,0,sub-037,500,999.0
00000850.npy,"[0.524584949016571, -1.359373688697815, -0.5868427157402039]",train,"[0.6751847267150879, 0.1026194840669632, 0.22219574451446533]",0,0,sub-037,1000,1499.0
00000851.npy,"[0.6783771514892578, -1.424367904663086, -0.5696454644203186]",train,"[0.7096261382102966, 0.08666006475687027, 0.20371374487876892]",0,0,sub-037,1500,1999.0
00000852.npy,"[0.7621901035308838, -0.8788349628448486, -0.588688850402832]",train,"[0.6883289813995361, 0.1333852857351303, 0.17828580737113953]",0,0,sub-037,2000,2499.0
00000853.npy,"[0.014722591266036034, 0.16857580840587616, -0.5589702129364014]",train,"[0.366332471370697, 0.4272608160972595, 0.20640671253204346]",1,0,sub-037,2500,2999.0
00000854.npy,"[0.3726661503314972, -1.14081609249115, -0.793071985244751]",train,"[0.6528120636940002, 0.1437113881111145, 0.20347662270069122]",0,0,sub-037,3000,3499.0
00000855.npy,"[-0.15299680829048157, -0.19061297178268433, -0.12641261518001556]",train,"[0.3344455659389496, 0.32209867238998413, 0.3434557616710663]",2,0,sub-037,3500,3999.0
00000856.npy,"[0.7212376594543457, -1.241250991821289, -1.0693572759628296]",train,"[0.7648948431015015, 0.10747408121824265, 0.1276310235261917]",0,0,sub-037,4000,4499.0
00000857.npy,"[0.1449308693408966, -0.5285362005233765, -0.25480860471725464]",train,"[0.45862463116645813, 0.23386991024017334, 0.30750539898872375]",0,0,sub-037,4500,4999.0
00000858.npy,"[0.9630336165428162, -1.8803865909576416, -0.8252202272415161]",train,"[0.8160080313682556, 0.047513026744127274, 0.1364789605140686]",0,0,sub-037,5000,5499.0
00000859.npy,"[1.380445122718811, -3.207453727722168, -1.452062964439392]",train,"[0.9354192614555359, 0.009517156518995762, 0.055063482373952866]",0,0,sub-037,5500,5999.0
00000860.npy,"[0.7504735589027405, -1.8365975618362427, -0.9824057817459106]",train,"[0.7987125515937805, 0.06009519845247269, 0.14119215309619904]",0,0,sub-037,6000,6499.0
00000861.npy,"[1.4540945291519165, -2.668766498565674, -1.3186185359954834]",train,"[0.9270500540733337, 0.015016455203294754, 0.057933419942855835]",0,0,sub-037,6500,6999.0
00000862.npy,"[1.2629748582839966, -2.6939520835876465, -1.189825177192688]",train,"[0.9048348665237427, 0.01730206049978733, 0.07786311954259872]",0,0,sub-037,7000,7499.0
