crop_file,logits,dataset,softmax_values,pred_label,true_label,original_rec,crop_start_sample,crop_end_sample
00000848.npy,"[0.8100415468215942, -2.3022844791412354, -0.8726362586021423]",train,"[0.8127617239952087, 0.03616572171449661, 0.15107256174087524]",0,0,sub-037,0,499.0
00000849.npy,"[-0.0834592878818512, -1.1811912059783936, -0.4548514783382416]",train,"[0.49421757459640503, 0.1648842841386795, 0.3408981263637543]",0,0,sub-037,500,999.0
00000850.npy,"[0.5547977089881897, -1.9420770406723022, -0.7648930549621582]",train,"[0.7409823536872864, 0.06101391837000847, 0.19800378382205963]",0,0,sub-037,1000,1499.0
00000851.npy,"[1.1997582912445068, -2.5401523113250732, -0.9809783697128296]",train,"[0.8797283172607422, 0.020899027585983276, 0.09937261044979095]",0,0,sub-037,1500,1999.0
00000852.npy,"[1.1716078519821167, -1.4244165420532227, -0.8940187096595764]",train,"[0.8324257135391235, 0.06207352131605148, 0.10550069063901901]",0,0,sub-037,2000,2499.0
00000853.npy,"[0.3279087245464325, -0.7803148627281189, -0.5818950533866882]",train,"[0.577117919921875, 0.19053256511688232, 0.23234954476356506]",0,0,sub-037,2500,2999.0
00000854.npy,"[0.2889128625392914, -1.3637888431549072, -0.60240638256073]",train,"[0.6243576407432556, 0.11958430707454681, 0.256058007478714]",0,0,sub-037,3000,3499.0
00000855.npy,"[0.6777611970901489, -1.2305090427398682, -0.7114174962043762]",train,"[0.7155037522315979, 0.10613548755645752, 0.178360715508461]",0,0,sub-037,3500,3999.0
00000856.npy,"[1.269268274307251, -1.83561372756958, -1.0603584051132202]",train,"[0.8755325675010681, 0.039249952882528305, 0.08521740883588791]",0,0,sub-037,4000,4499.0
00000857.npy,"[0.5519151091575623, -1.1045496463775635, -0.4778629541397095]",train,"[0.6460371613502502, 0.1232718750834465, 0.23069095611572266]",0,0,sub-037,4500,4999.0
00000858.npy,"[1.3474122285842896, -2.4524168968200684, -1.1995484828948975]",train,"[0.9085177779197693, 0.020327718928456306, 0.07115449756383896]",0,0,sub-037,5000,5499.0
00000859.npy,"[1.6511415243148804, -2.83410906791687, -1.422898530960083]",train,"[0.9456192255020142, 0.010660971514880657, 0.04371974989771843]",0,0,sub-037,5500,5999.0
00000860.npy,"[0.9368960857391357, -2.875922441482544, -1.0296063423156738]",train,"[0.8605620265007019, 0.019006237387657166, 0.12043175101280212]",0,0,sub-037,6000,6499.0
00000861.npy,"[1.593474268913269, -2.4747872352600098, -1.1213796138763428]",train,"[0.9230867624282837, 0.015791339799761772, 0.061121851205825806]",0,0,sub-037,6500,6999.0
00000862.npy,"[1.247046709060669, -2.6458470821380615, -1.1166563034057617]",train,"[0.8972975611686707, 0.01829254813492298, 0.08440987765789032]",0,0,sub-037,7000,7499.0
00000863.npy,"[0.6126405000686646, -1.2857472896575928, -0.5666660070419312]",train,"[0.6861996054649353, 0.10279952734708786, 0.21100084483623505]",0,0,sub-037,7500,7999.0
00000864.npy,"[1.7854175567626953, -2.2710354328155518, -1.630041480064392]",train,"[0.9522253274917603, 0.01648332178592682, 0.03129137307405472]",0,0,sub-037,8000,8499.0
00000865.npy,"[0.4005885720252991, -0.9155269265174866, -0.4135352671146393]",train,"[0.5843844413757324, 0.15671730041503906, 0.2588982582092285]",0,0,sub-037,8500,8999.0
00000866.npy,"[0.6279802322387695, -1.8810124397277832, -0.6593705415725708]",train,"[0.736729085445404, 0.05993301793932915, 0.20333796739578247]",0,0,sub-037,9000,9499.0
00000867.npy,"[-1.1043529510498047, -1.4182041883468628, 0.7792972326278687]",train,"[0.12036449462175369, 0.08794163912534714, 0.7916938662528992]",2,0,sub-037,9500,9999.0
00000868.npy,"[-0.24291984736919403, -0.7783488631248474, -0.24141521751880646]",train,"[0.38655948638916016, 0.22629892826080322, 0.38714155554771423]",2,0,sub-037,10000,10499.0
