crop_file,true_label,pred_label,logits,softmax,goodness
00063947.npy,1,1,"[-0.3222094476222992, 0.02814231999218464]","[0.4132971167564392, 0.5867028832435608]",0.5867028832435608
00034459.npy,0,1,"[-0.32269883155822754, 0.4708781838417053]","[0.3114011585712433, 0.6885988712310791]",0.6885988712310791
00034864.npy,1,1,"[-0.24055364727973938, -0.12971283495426178]","[0.4723181426525116, 0.527681827545166]",0.527681827545166
00033959.npy,1,1,"[-0.21260479092597961, -0.1318141371011734]","[0.4798133075237274, 0.5201866626739502]",0.5201866626739502
00059208.npy,1,1,"[-0.30283430218696594, 0.33164161443710327]","[0.3464963138103485, 0.6535036563873291]",0.6535036563873291
00007006.npy,0,0,"[-0.330927312374115, -0.4266781210899353]","[0.523919403553009, 0.4760805666446686]",0.4760805666446686
00059444.npy,1,1,"[-0.4524286091327667, 0.1731206476688385]","[0.348520427942276, 0.6514796018600464]",0.6514796018600464
00037486.npy,1,1,"[-0.6260865330696106, 0.40722644329071045]","[0.26244232058525085, 0.7375577092170715]",0.7375577092170715
00008665.npy,1,1,"[0.15354594588279724, 0.5973913669586182]","[0.3908250331878662, 0.609174907207489]",0.609174907207489
00064253.npy,1,1,"[-0.0670669674873352, 0.27494436502456665]","[0.4153209924697876, 0.5846790075302124]",0.5846790075302124
00009753.npy,1,1,"[-0.36807912588119507, 0.5148101449012756]","[0.29257944226264954, 0.7074205875396729]",0.7074205875396729
00064508.npy,0,1,"[-0.05692089721560478, -0.02998579666018486]","[0.49326664209365845, 0.5067333579063416]",0.5067333579063416
00014624.npy,0,0,"[-0.10914914309978485, -0.3745485246181488]","[0.565963089466095, 0.43403688073158264]",0.43403688073158264
00034140.npy,1,0,"[0.08612853288650513, 0.07605051249265671]","[0.5025194883346558, 0.4974805414676666]",0.4974805414676666
00010334.npy,1,1,"[-0.2553147077560425, 0.3951432406902313]","[0.342886358499527, 0.6571136713027954]",0.6571136713027954
00008352.npy,1,0,"[0.02669638954102993, -0.23580719530582428]","[0.5652516484260559, 0.4347483813762665]",0.4347483813762665
00057850.npy,1,1,"[-0.48186907172203064, 0.46866846084594727]","[0.27877673506736755, 0.7212232947349548]",0.7212232947349548
00021423.npy,0,1,"[0.026321178302168846, 0.10163804888725281]","[0.48117968440055847, 0.5188202857971191]",0.5188202857971191
00043356.npy,1,1,"[-0.16656655073165894, -0.052249204367399216]","[0.4714517295360565, 0.5285482406616211]",0.5285482406616211
00039178.npy,1,1,"[-0.3671831786632538, 0.30337831377983093]","[0.3383711278438568, 0.6616289019584656]",0.6616289019584656
