crop_file,true_label,pred_label,logits,softmax,goodness
00019403.npy,0,1,"[-0.34853363037109375, 0.4431721568107605]","[0.31180253624916077, 0.6881974339485168]",0.6881974339485168
00041068.npy,1,0,"[0.3107585310935974, -0.20379973948001862]","[0.625874400138855, 0.37412557005882263]",0.37412557005882263
00032472.npy,1,0,"[0.29579901695251465, 0.07598347961902618]","[0.5547336339950562, 0.4452663064002991]",0.4452663064002991
00013639.npy,1,1,"[-0.058046385645866394, 0.21323291957378387]","[0.43259307742118835, 0.567406952381134]",0.567406952381134
00055589.npy,1,0,"[-0.24625559151172638, -0.38465189933776855]","[0.5345439314842224, 0.4654560685157776]",0.4654560685157776
00063460.npy,1,1,"[-0.42809832096099854, 0.28509318828582764]","[0.3288939893245697, 0.6711059808731079]",0.6711059808731079
00063452.npy,1,1,"[-0.46198177337646484, 0.4823952913284302]","[0.28001707792282104, 0.7199829816818237]",0.7199829816818237
00027260.npy,0,0,"[0.19719743728637695, -0.05431923270225525]","[0.5625497698783875, 0.43745023012161255]",0.43745023012161255
00059514.npy,1,0,"[0.24803844094276428, -0.08649701625108719]","[0.5828624963760376, 0.4171375036239624]",0.4171375036239624
00063591.npy,1,1,"[-0.38499999046325684, 0.5311311483383179]","[0.28574687242507935, 0.7142531275749207]",0.7142531275749207
00008536.npy,1,1,"[-0.29892808198928833, 0.3294990658760071]","[0.34786728024482727, 0.6521327495574951]",0.6521327495574951
00009992.npy,1,1,"[-0.061380162835121155, 0.12160156667232513]","[0.4543817639350891, 0.5456181764602661]",0.5456181764602661
00065205.npy,0,0,"[0.22226205468177795, 0.1206863671541214]","[0.5253720879554749, 0.47462788224220276]",0.47462788224220276
00064169.npy,1,0,"[0.12988367676734924, 0.05599130690097809]","[0.5184646844863892, 0.48153528571128845]",0.48153528571128845
00024657.npy,1,1,"[-0.3507511615753174, -0.17528368532657623]","[0.4562453329563141, 0.5437546372413635]",0.5437546372413635
00026558.npy,0,0,"[0.22610332071781158, -0.12600356340408325]","[0.5871284008026123, 0.4128715991973877]",0.4128715991973877
00033996.npy,1,0,"[0.2463044673204422, 0.03459969162940979]","[0.5527293682098389, 0.44727063179016113]",0.44727063179016113
00032045.npy,0,0,"[0.27197331190109253, -0.09509312361478806]","[0.590749979019165, 0.40925008058547974]",0.40925008058547974
00035912.npy,1,0,"[0.18049323558807373, -0.04351341724395752]","[0.5557686686515808, 0.4442313611507416]",0.4442313611507416
00014467.npy,0,0,"[-0.13512150943279266, -0.14204445481300354]","[0.501730740070343, 0.49826928973197937]",0.49826928973197937
00058195.npy,1,0,"[0.34499239921569824, 0.037313759326934814]","[0.5763185620307922, 0.42368146777153015]",0.42368146777153015
00012718.npy,1,0,"[0.2785719037055969, -0.009812504053115845]","[0.5716005563735962, 0.4283994436264038]",0.4283994436264038
00064806.npy,1,0,"[0.2026662826538086, -0.2372007668018341]","[0.6082273125648499, 0.39177262783050537]",0.39177262783050537
00001186.npy,1,0,"[0.38693511486053467, 0.0978349894285202]","[0.5717757940292358, 0.42822420597076416]",0.42822420597076416
00027845.npy,1,0,"[0.27443167567253113, -0.18538536131381989]","[0.612970769405365, 0.387029230594635]",0.387029230594635
00020435.npy,0,1,"[0.09348918497562408, 0.12449334561824799]","[0.49224957823753357, 0.5077504515647888]",0.5077504515647888
00019525.npy,0,1,"[0.1347665786743164, 0.14700935781002045]","[0.4969393312931061, 0.5030606389045715]",0.5030606389045715
00043434.npy,1,0,"[0.5656481385231018, 0.26876890659332275]","[0.5736794471740723, 0.42632055282592773]",0.42632055282592773
00000990.npy,1,0,"[0.36158522963523865, -0.07231098413467407]","[0.6068036556243896, 0.39319637417793274]",0.39319637417793274
00040579.npy,1,0,"[0.21103958785533905, 0.0944424718618393]","[0.5291162729263306, 0.47088372707366943]",0.47088372707366943
00019714.npy,0,0,"[0.06697048246860504, -0.19645124673843384]","[0.565477192401886, 0.4345227777957916]",0.4345227777957916
00021766.npy,1,0,"[0.14967545866966248, -0.15554113686084747]","[0.5757172703742981, 0.4242827594280243]",0.4242827594280243
00043727.npy,1,0,"[0.24848370254039764, -0.21656298637390137]","[0.6142107248306274, 0.38578927516937256]",0.38578927516937256
00024737.npy,0,1,"[-1.0383579730987549, 0.4966457486152649]","[0.17726276814937592, 0.8227372169494629]",0.8227372169494629
00020355.npy,0,0,"[-0.01062832772731781, -0.18818776309490204]","[0.5442736148834229, 0.45572638511657715]",0.45572638511657715
00020921.npy,0,1,"[-0.3833605647087097, 0.22909261286258698]","[0.3514998257160187, 0.6485002040863037]",0.6485002040863037
00064735.npy,0,0,"[0.32024139165878296, 0.02097606658935547]","[0.5742629170417786, 0.42573708295822144]",0.42573708295822144
00058219.npy,0,0,"[0.11069363355636597, -0.032428860664367676]","[0.535719633102417, 0.46428030729293823]",0.46428030729293823
00030524.npy,1,0,"[0.2182396501302719, -0.33526846766471863]","[0.6349490880966187, 0.36505088210105896]",0.36505088210105896
00037192.npy,1,0,"[0.04373553395271301, 0.002780318260192871]","[0.5102373957633972, 0.48976263403892517]",0.48976263403892517
00035646.npy,1,0,"[0.18504607677459717, -0.12362736463546753]","[0.576561450958252, 0.4234386086463928]",0.4234386086463928
00043536.npy,1,0,"[0.008921414613723755, -0.1526285707950592]","[0.5402998924255371, 0.4597001075744629]",0.4597001075744629
00068182.npy,1,0,"[0.25580886006355286, 0.09390316903591156]","[0.540388286113739, 0.45961177349090576]",0.45961177349090576
00006192.npy,0,0,"[0.2485295683145523, -0.16874228417873383]","[0.6028302311897278, 0.39716973900794983]",0.39716973900794983
00068946.npy,1,0,"[-0.006629571318626404, -0.009654253721237183]","[0.5007561445236206, 0.499243825674057]",0.499243825674057
00041412.npy,1,1,"[0.17892441153526306, 0.2123994380235672]","[0.49163201451301575, 0.5083679556846619]",0.5083679556846619
00035702.npy,0,1,"[-1.0406032800674438, 1.0493617057800293]","[0.11007601767778397, 0.8899239897727966]",0.8899239897727966
00035295.npy,1,0,"[0.3937682807445526, 0.05933655798435211]","[0.5828372836112976, 0.4171627163887024]",0.4171627163887024
00032460.npy,1,0,"[0.3486621379852295, 0.07703132927417755]","[0.5674932599067688, 0.432506799697876]",0.432506799697876
00060149.npy,0,0,"[0.16376307606697083, -0.01881316304206848]","[0.5455176830291748, 0.4544823169708252]",0.4544823169708252
00064423.npy,0,0,"[0.17921774089336395, -0.07643873989582062]","[0.5635682940483093, 0.43643173575401306]",0.43643173575401306
00063702.npy,1,1,"[-0.1336262971162796, 0.4103943109512329]","[0.36725279688835144, 0.6327471733093262]",0.6327471733093262
00019457.npy,0,1,"[-0.16258804500102997, 0.1822342425584793]","[0.41463857889175415, 0.5853614807128906]",0.5853614807128906
00034150.npy,1,1,"[-0.03164176642894745, 0.5325450897216797]","[0.36257925629615784, 0.6374207735061646]",0.6374207735061646
00008790.npy,1,0,"[-0.19108964502811432, -0.2190931737422943]","[0.5070004463195801, 0.4929995536804199]",0.4929995536804199
00059393.npy,0,0,"[0.2682076394557953, -0.06577253341674805]","[0.5827274918556213, 0.41727250814437866]",0.41727250814437866
00019427.npy,0,1,"[-0.007651731371879578, 0.28419947624206543]","[0.427550733089447, 0.5724493265151978]",0.5724493265151978
00005103.npy,1,1,"[0.047583118081092834, 0.18533886969089508]","[0.465615451335907, 0.534384548664093]",0.534384548664093
00057969.npy,0,0,"[-0.012991443276405334, -0.053087979555130005]","[0.5100228190422058, 0.4899772107601166]",0.4899772107601166
00043149.npy,1,0,"[0.18333940207958221, -0.14153912663459778]","[0.5805127024650574, 0.41948726773262024]",0.41948726773262024
00064283.npy,0,0,"[0.3303196430206299, -0.2025248408317566]","[0.630146324634552, 0.369853675365448]",0.369853675365448
00006705.npy,1,1,"[-0.1855982095003128, 0.08239205181598663]","[0.43340054154396057, 0.566599428653717]",0.566599428653717
00021498.npy,0,0,"[-0.11496113240718842, -0.1486615389585495]","[0.5084242820739746, 0.491575688123703]",0.491575688123703
00033298.npy,1,1,"[-0.00862063467502594, 0.428419291973114]","[0.39244651794433594, 0.6075534820556641]",0.6075534820556641
00036239.npy,1,0,"[0.17800438404083252, -0.24496173858642578]","[0.6041927933692932, 0.3958072066307068]",0.3958072066307068
00064624.npy,0,1,"[-0.007285133004188538, 0.24470387399196625]","[0.43733400106430054, 0.5626659393310547]",0.5626659393310547
00019816.npy,0,0,"[0.20869526267051697, -0.01734355092048645]","[0.5562703609466553, 0.4437296986579895]",0.4437296986579895
00034371.npy,0,1,"[-0.013779357075691223, 0.3036431074142456]","[0.42130404710769653, 0.5786959528923035]",0.5786959528923035
00030557.npy,1,0,"[0.15697015821933746, -0.1749446839094162]","[0.5822252035140991, 0.4177747964859009]",0.4177747964859009
00007033.npy,1,1,"[-0.9888249635696411, 0.6442040801048279]","[0.1634158343076706, 0.8365840911865234]",0.8365840911865234
00011144.npy,1,1,"[0.008732140064239502, 0.14245636761188507]","[0.46661868691444397, 0.5333813428878784]",0.5333813428878784
00068954.npy,1,1,"[-0.037230268120765686, 0.01414710283279419]","[0.48715847730636597, 0.512841522693634]",0.512841522693634
00034878.npy,0,0,"[0.10755810141563416, 0.08681429922580719]","[0.5051857829093933, 0.4948142468929291]",0.4948142468929291
00022081.npy,0,0,"[0.4323662519454956, 0.14079593122005463]","[0.572380542755127, 0.42761948704719543]",0.42761948704719543
00058482.npy,1,0,"[0.25273892283439636, 0.0074676573276519775]","[0.5610122680664062, 0.43898776173591614]",0.43898776173591614
00032226.npy,1,1,"[-0.2255556434392929, -0.004169374704360962]","[0.44487839937210083, 0.5551216006278992]",0.5551216006278992
00033462.npy,1,0,"[0.36015117168426514, 0.22849787771701813]","[0.5328658819198608, 0.46713414788246155]",0.46713414788246155
00012196.npy,1,0,"[0.04460185766220093, -0.05123049020767212]","[0.5239397883415222, 0.4760602116584778]",0.4760602116584778
00032465.npy,1,0,"[0.047116175293922424, -0.06976041197776794]","[0.5291858911514282, 0.4708140790462494]",0.4708140790462494
00026048.npy,0,0,"[0.49350276589393616, -0.13672350347042084]","[0.6525407433509827, 0.34745922684669495]",0.34745922684669495
00064192.npy,1,1,"[-0.272846519947052, 0.346757173538208]","[0.34987160563468933, 0.6501284241676331]",0.6501284241676331
00003554.npy,0,1,"[0.04581733047962189, 0.16405625641345978]","[0.4704746603965759, 0.5295253396034241]",0.5295253396034241
00021281.npy,0,0,"[0.0223732590675354, -0.10178813338279724]","[0.531000554561615, 0.468999445438385]",0.468999445438385
00022235.npy,0,1,"[-0.3886570930480957, 0.16428114473819733]","[0.365183025598526, 0.6348170042037964]",0.6348170042037964
00032444.npy,1,1,"[0.005104929208755493, 0.04786628484725952]","[0.4893112778663635, 0.5106887221336365]",0.5106887221336365
00043553.npy,0,0,"[-0.01880095899105072, -0.030845612287521362]","[0.5030111074447632, 0.4969888925552368]",0.4969888925552368
00037759.npy,0,1,"[-0.39368098974227905, 0.02097904682159424]","[0.39779525995254517, 0.6022046804428101]",0.6022046804428101
00014541.npy,1,0,"[0.13746985793113708, -0.11236482858657837]","[0.5621358156204224, 0.4378642141819]",0.4378642141819
00008403.npy,1,1,"[-0.938869833946228, 0.5388562083244324]","[0.1857711374759674, 0.8142288327217102]",0.8142288327217102
00020799.npy,0,0,"[0.328427791595459, -0.06362570822238922]","[0.5967769026756287, 0.40322306752204895]",0.40322306752204895
00009633.npy,1,1,"[-0.1968184858560562, 0.33538180589675903]","[0.370003879070282, 0.6299961805343628]",0.6299961805343628
00065098.npy,0,1,"[-0.2646772861480713, -0.05378514528274536]","[0.4474714994430542, 0.5525285005569458]",0.5525285005569458
00068552.npy,0,0,"[0.3042972981929779, -0.07622011750936508]","[0.5939978957176208, 0.40600210428237915]",0.40600210428237915
00060545.npy,0,1,"[-0.4593156576156616, 0.3268175721168518]","[0.31299954652786255, 0.6870004534721375]",0.6870004534721375
00055845.npy,1,1,"[-0.6657940149307251, -0.1391313523054123]","[0.37129560112953186, 0.6287044286727905]",0.6287044286727905
00060667.npy,0,1,"[0.11352741718292236, 0.11759217083454132]","[0.49898380041122437, 0.5010161995887756]",0.5010161995887756
00019373.npy,0,1,"[0.06568171083927155, 0.22057200968265533]","[0.46135464310646057, 0.538645327091217]",0.538645327091217
00044207.npy,1,1,"[-0.5351192355155945, 0.47151994705200195]","[0.26763805747032166, 0.732361912727356]",0.732361912727356
00006409.npy,0,1,"[0.054955899715423584, 0.1372620016336441]","[0.47943511605262756, 0.5205649137496948]",0.5205649137496948
00027820.npy,1,0,"[0.03171303868293762, -0.07573764026165009]","[0.5268368124961853, 0.4731631278991699]",0.4731631278991699
00004383.npy,1,1,"[-1.1424486637115479, 1.0159870386123657]","[0.10354554653167725, 0.896454393863678]",0.896454393863678
00028229.npy,0,0,"[0.17403121292591095, 0.008291572332382202]","[0.5413403511047363, 0.45865967869758606]",0.45865967869758606
00028312.npy,1,0,"[0.34993308782577515, -0.2130376398563385]","[0.637139618396759, 0.3628603518009186]",0.3628603518009186
00031956.npy,1,0,"[0.24667289853096008, -0.014831051230430603]","[0.5650059580802917, 0.43499404191970825]",0.43499404191970825
00043913.npy,1,1,"[0.07338656485080719, 0.3100730776786804]","[0.44110307097435, 0.5588968992233276]",0.5588968992233276
00044126.npy,1,1,"[-0.8228931427001953, 0.68082594871521]","[0.18187150359153748, 0.8181285262107849]",0.8181285262107849
00005174.npy,0,0,"[0.3354546129703522, 0.03560169041156769]","[0.5744065642356873, 0.42559343576431274]",0.42559343576431274
00028194.npy,0,1,"[-0.08310182392597198, 0.09978900849819183]","[0.4544043242931366, 0.5455957055091858]",0.5455957055091858
00036535.npy,1,0,"[0.3975214660167694, -0.0949179083108902]","[0.6206809282302856, 0.37931910157203674]",0.37931910157203674
00001597.npy,0,0,"[0.23086635768413544, -0.010153651237487793]","[0.5599649548530579, 0.44003498554229736]",0.44003498554229736
00067750.npy,1,0,"[0.045184552669525146, -0.005515739321708679]","[0.5126723647117615, 0.4873276352882385]",0.4873276352882385
00014588.npy,0,0,"[0.07788524031639099, -0.1242959126830101]","[0.5503738522529602, 0.4496261775493622]",0.4496261775493622
00066131.npy,1,1,"[-0.3609822392463684, 0.39357465505599976]","[0.31982919573783875, 0.6801708340644836]",0.6801708340644836
00010537.npy,1,1,"[-0.3959094285964966, 0.49014127254486084]","[0.29192548990249634, 0.7080745100975037]",0.7080745100975037
00040510.npy,1,0,"[0.3976101279258728, 0.15648730099201202]","[0.5599903464317322, 0.4400096535682678]",0.4400096535682678
00012439.npy,1,0,"[0.19622185826301575, 0.1601351648569107]","[0.5090206861495972, 0.49097931385040283]",0.49097931385040283
00064731.npy,0,1,"[-0.20403389632701874, 0.1522483080625534]","[0.4118598401546478, 0.5881401896476746]",0.5881401896476746
00009709.npy,1,1,"[-0.44424039125442505, 0.1585879772901535]","[0.35369688272476196, 0.646303117275238]",0.646303117275238
00068894.npy,1,1,"[-0.6149177551269531, 0.2043328732252121]","[0.3059227466583252, 0.6940772533416748]",0.6940772533416748
00006873.npy,0,0,"[0.1882319152355194, -0.17817692458629608]","[0.5905908942222595, 0.4094090461730957]",0.4094090461730957
00043451.npy,1,0,"[0.39350104331970215, 0.03889380395412445]","[0.5877343416213989, 0.4122656285762787]",0.4122656285762787
00032111.npy,1,0,"[0.13682475686073303, 0.13139007985591888]","[0.501358687877655, 0.49864131212234497]",0.49864131212234497
00067171.npy,1,1,"[-0.08229772746562958, 0.020955920219421387]","[0.4742095172405243, 0.5257905125617981]",0.5257905125617981
00013750.npy,1,1,"[-0.5011562705039978, 0.2726190686225891]","[0.3156629800796509, 0.6843369603157043]",0.6843369603157043
00030730.npy,1,1,"[0.08896246552467346, 0.3381305932998657]","[0.4380282461643219, 0.5619717240333557]",0.5619717240333557
00032561.npy,1,0,"[0.18279458582401276, -0.07936718314886093]","[0.5651676058769226, 0.4348323941230774]",0.4348323941230774
00020558.npy,0,0,"[0.2085154950618744, -0.15870153903961182]","[0.590786337852478, 0.409213662147522]",0.409213662147522
00027714.npy,0,1,"[0.1594746708869934, 0.1726982444524765]","[0.4966941475868225, 0.5033058524131775]",0.5033058524131775
00032647.npy,0,0,"[0.23512816429138184, -0.14542484283447266]","[0.5940064787864685, 0.4059935212135315]",0.4059935212135315
00060113.npy,0,0,"[0.6567490696907043, 0.23127539455890656]","[0.6047922968864441, 0.3952076733112335]",0.3952076733112335
00027671.npy,0,1,"[-0.2093980759382248, -0.09821142256259918]","[0.472231924533844, 0.527768075466156]",0.527768075466156
00068393.npy,1,1,"[-0.5010145306587219, 0.03237459063529968]","[0.3697267770767212, 0.6302732825279236]",0.6302732825279236
00037338.npy,0,0,"[-0.1370568722486496, -0.31860506534576416]","[0.5452628135681152, 0.45473721623420715]",0.45473721623420715
00010664.npy,1,1,"[-0.01293732225894928, 0.04517698287963867]","[0.4854755103588104, 0.5145244598388672]",0.5145244598388672
00024644.npy,1,1,"[-0.49883943796157837, -0.1980568766593933]","[0.42536622285842896, 0.5746338367462158]",0.5746338367462158
00028247.npy,0,0,"[0.09304848313331604, 0.0668024867773056]","[0.5065611600875854, 0.49343886971473694]",0.49343886971473694
00068514.npy,1,1,"[-0.7451003789901733, 0.42709702253341675]","[0.23645803332328796, 0.7635419368743896]",0.7635419368743896
00067865.npy,0,0,"[0.1649470031261444, -0.13423985242843628]","[0.5742437243461609, 0.4257562756538391]",0.4257562756538391
00064685.npy,0,1,"[0.0010376721620559692, 0.0678396075963974]","[0.4833057224750519, 0.5166942477226257]",0.5166942477226257
00028112.npy,1,0,"[0.22253172099590302, -0.1723947674036026]","[0.5974680781364441, 0.4025319218635559]",0.4025319218635559
00021616.npy,0,0,"[0.07260100543498993, -0.11088143289089203]","[0.5457423329353333, 0.45425763726234436]",0.45425763726234436
00032489.npy,1,0,"[0.15396834909915924, -0.08157596737146378]","[0.5586153268814087, 0.4413847029209137]",0.4413847029209137
00055217.npy,0,1,"[-0.5660860538482666, 0.4107353091239929]","[0.2735229432582855, 0.7264770269393921]",0.7264770269393921
00064539.npy,0,0,"[0.2974681258201599, -0.012518301606178284]","[0.5768819451332092, 0.42311805486679077]",0.42311805486679077
00019555.npy,0,0,"[0.22181230783462524, -0.2415146678686142]","[0.6138031482696533, 0.38619688153266907]",0.38619688153266907
00003584.npy,1,0,"[0.2771202325820923, 0.03833109140396118]","[0.5594152212142944, 0.44058477878570557]",0.44058477878570557
00006240.npy,0,0,"[0.3499075770378113, 0.21078278124332428]","[0.5347251892089844, 0.4652748107910156]",0.4652748107910156
00032845.npy,1,0,"[0.365201473236084, -0.041599780321121216]","[0.6003206372261047, 0.39967936277389526]",0.39967936277389526
00030698.npy,1,0,"[0.28352808952331543, -0.07321011275053024]","[0.5882506370544434, 0.41174936294555664]",0.41174936294555664
00027980.npy,1,0,"[0.4629861116409302, -0.12424399703741074]","[0.6427293419837952, 0.3572706878185272]",0.3572706878185272
00067494.npy,1,1,"[-0.08196039497852325, 0.3414885401725769]","[0.39569172263145447, 0.6043082475662231]",0.6043082475662231
00057735.npy,1,0,"[0.12737232446670532, -0.0878705084323883]","[0.5536039471626282, 0.4463960826396942]",0.4463960826396942
00037355.npy,1,1,"[-0.1175742894411087, 0.27315056324005127]","[0.40354281663894653, 0.5964571237564087]",0.5964571237564087
00058570.npy,1,0,"[0.2046155482530594, -0.1424284428358078]","[0.5859005451202393, 0.41409942507743835]",0.41409942507743835
00039970.npy,1,0,"[0.44258278608322144, 0.13762472569942474]","[0.5756540894508362, 0.4243459105491638]",0.4243459105491638
00058610.npy,1,1,"[-0.061178937554359436, 0.01129525899887085]","[0.48188936710357666, 0.5181106328964233]",0.5181106328964233
00033738.npy,1,0,"[0.2254413217306137, 0.027637571096420288]","[0.5492902994155884, 0.45070967078208923]",0.45070967078208923
00026734.npy,0,0,"[0.3813225328922272, -0.08846654742956161]","[0.6153338551521301, 0.38466617465019226]",0.38466617465019226
00026163.npy,0,0,"[0.1397288292646408, 0.0939335972070694]","[0.5114467740058899, 0.4885531961917877]",0.4885531961917877
00012716.npy,1,1,"[-0.13886676728725433, -0.00335557758808136]","[0.4661739766597748, 0.5338260531425476]",0.5338260531425476
00036312.npy,0,0,"[0.20490406453609467, 0.030421465635299683]","[0.5435103178024292, 0.4564897119998932]",0.4564897119998932
00034814.npy,1,1,"[-0.15614710748195648, 0.08889342844486237]","[0.4390445649623871, 0.5609554648399353]",0.5609554648399353
00018955.npy,0,0,"[0.3635376989841461, -0.025732368230819702]","[0.5961069464683533, 0.40389302372932434]",0.40389302372932434
00066365.npy,1,1,"[-0.34924155473709106, 0.46813374757766724]","[0.3063211143016815, 0.6936789155006409]",0.6936789155006409
00058248.npy,0,1,"[-0.28950273990631104, 0.11383266746997833]","[0.4005112648010254, 0.5994887948036194]",0.5994887948036194
00021879.npy,0,0,"[0.059272006154060364, -0.03630146384239197]","[0.5238751769065857, 0.4761247932910919]",0.4761247932910919
00007971.npy,1,0,"[0.08259399235248566, -0.112280935049057]","[0.548565149307251, 0.4514348804950714]",0.4514348804950714
00026306.npy,0,0,"[0.37742847204208374, 0.15026463568210602]","[0.556547999382019, 0.44345200061798096]",0.44345200061798096
00063659.npy,1,1,"[-0.33769840002059937, 0.40144670009613037]","[0.3231911063194275, 0.6768088936805725]",0.6768088936805725
00067488.npy,1,1,"[-0.23686574399471283, 0.13344375789165497]","[0.40846624970436096, 0.5915337800979614]",0.5915337800979614
00064886.npy,1,0,"[0.22845374047756195, -0.21630041301250458]","[0.6093912124633789, 0.3906087279319763]",0.3906087279319763
00027356.npy,0,0,"[0.2754809856414795, -0.05239158868789673]","[0.5812416672706604, 0.4187583327293396]",0.4187583327293396
00008650.npy,1,1,"[-0.6887603402137756, 0.6263300180435181]","[0.21163628995418549, 0.7883637547492981]",0.7883637547492981
00034460.npy,1,1,"[0.19385425746440887, 0.3314157724380493]","[0.46566376090049744, 0.534336268901825]",0.534336268901825
00026172.npy,0,0,"[0.38056260347366333, 0.007625401020050049]","[0.5921685099601746, 0.40783146023750305]",0.40783146023750305
00066679.npy,1,1,"[-0.11254625022411346, -0.01025785505771637]","[0.4744502007961273, 0.5255498290061951]",0.5255498290061951
